																				
																					
													Mixed Door Cabinet								
HMC Enterprises LLC	Howard-McCray	SR48-S	SR48-S	"SR48-B,SR48-B,; SR48-BE,SR48-BE,; SR48-BI,SR48-BI,; SR48-CS,SR48-CS,; SR48-H,SR48-H,; SR48-L,SR48-L,; SR48-LED,SR48-LED,; SR48-LH,SR48-LH,; SR48-SB,SR48-SB,; SR48-SE,SR48-SE,; SR48-SI,SR48-SI,; SR48-SP,SR48-SP,; SR48-W,SR48-W,; SR48-WE,SR48-WE,; SR48-WI,SR48-WI,"	Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	47.42	0	47.42	83	52.25	35.67	4.01	R134a	2/9/2013	2/6/2013
"Hoshizaki America, Inc."	Hoshizaki	CR1B-FG	CR1B-FG		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	20.94			75.61	192	33.58	3.12	R-134A	7/15/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	CR1B-FS	CR1B-FS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	20.94			75.61	192	33.58	2.52	R-134A	2/1/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	CR1B-FSL	CR1B-FSL		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	20.94	0	20.94	75.61	192	33.58	2.52	r134a	5/25/2012	9/7/2012
"Hoshizaki America, Inc."	Hoshizaki	CR1B-HS	CR1B-HS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	20.84			75.61	192	33.58	2.28	R-134A	2/1/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	CR1B-HSL	CR1B-HSL		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	20.84	0	20.84	75.61	192	33.58	2.28	r134a	5/25/2012	9/7/2012
"Hoshizaki America, Inc."	Hoshizaki	CR2B-FG	CR2B-FG		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Hinged	47.24			75.61	192	33.58	4.97	R-134A	8/15/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	CR2B-FS	CR2B-FS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	47.24			75.61	192	33.58	3.05	R-134A	2/1/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	CR2B-HS	CR2B-HS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	47.03			75.61	192	33.58	3.52	R-134A	2/1/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	CR3B-FS	CR3B-FS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	68.18			75.61	192	33.58	5.05	R-134A	2/1/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	CR3B-HS	CR3B-HS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	6	Hinged	67.9			75.61	192	33.58	5.48	R-134A	2/1/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	CRMR27	CRMR27		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	6.22			30	76	30	0.64	R-134A	7/15/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	CRMR27-01	CRMR27-01		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	6.22	0	6.22	30	76	30	0.64	r134a	7/15/2011	12/18/2012
"Hoshizaki America, Inc."	Hoshizaki	CRMR27-W	CRMR27-W		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	6.22			30	76	30	0.64	R-134A	7/15/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	CRMR27-W01	CRMR27-W01		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	6.22	0	6.22	30	76	30	0.64	r134a	7/15/2011	12/18/2012
"Hoshizaki America, Inc."	Hoshizaki	CRMR48	CRMR48		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	11.95			30	76	30	1.44	R-134A	7/15/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	CRMR48-01	CRMR48-01		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	11.95	0	11.95	30	76	30	1.44	r134a	7/15/2011	12/18/2012
"Hoshizaki America, Inc."	Hoshizaki	CRMR48-W	CRMR48-W		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	11.95			30	76	30	1.44	R-134A	7/15/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	CRMR48-W01	CRMR48-W01		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	11.95	0	11.95	30	76	30	1.44	r134a	7/15/2011	12/18/2012
"Hoshizaki America, Inc."	Hoshizaki	CRMR60	CRMR60		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	16.58	0	16.58	30	76	30	2.15	r134a	6/8/2012	9/7/2012
"Hoshizaki America, Inc."	Hoshizaki	CRMR60-W	CRMR60-W		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	16.58	0	16.58	30	76	30	2.15	r134a	6/8/2012	9/7/2012
"Hoshizaki America, Inc."	Hoshizaki	CRMR72	CRMR72		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	19.68	0	19.68	30	76	30	2.84	r134a	5/25/2012	9/7/2012
"Hoshizaki America, Inc."	Hoshizaki	CRMR72-W	CRMR72-W		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	19.68	0	19.68	30	76	30	2.84	r134a	5/25/2012	9/7/2012
"Hoshizaki America, Inc."	Hoshizaki	HR24A	HR24A		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	3.7			32.68	83	25.2	0.38	R-134A	8/15/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	RH1-SSE-FG	RH1-SSE-FG		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	20.85			84.5	215	33.6	2.99	R-134A	3/1/2009	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	RH1-SSE-FS	RH1-SSE-FS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	21.9			84.5	215	33.6	3	R-134A	12/1/2009	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	RH1-SSE-HG	RH1-SSE-HG		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Hinged	20.85			84.5	215	33.6	2.99	R-134A	6/1/2009	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	RH1-SSE-HS	RH1-SSE-HS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	21.9			84.5	215	33.6	1.93	R-134A	5/1/2010	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	RH2-SSE-FG	RH2-SSE-FG		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Hinged	45.9			84.5	215	33.6	3.88	R-134A	12/1/2009	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	RH2-SSE-FS	RH2-SSE-FS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	45.9			84.5	215	33.6	3.36	R-134A	1/1/2010	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	RH2-SSE-HG	RH2-SSE-HG		Glass Door Refrigerator Cabinet	Vertical		Automatic	4	0	Hinged	45.9			84.5	215	33.6	3.88	R-134A	1/1/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	RH2-SSE-HS	RH2-SSE-HS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	45.9			84.5	215	33.6	3.9	R-134A	11/1/2009	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	RH3-SSB-FG	RH3-SSB-FG		Glass Door Refrigerator Cabinet	Vertical		Automatic	3	0	Hinged	74.1			84.5	215	33.6	7.25	R-404A	3/1/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	RH3-SSB-HG	RH3-SSB-HG		Glass Door Refrigerator Cabinet	Vertical		Automatic	6	0	Hinged	73.61			84.5	215	33.6	8.17	R-404A	3/1/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	RH3-SSE-FS	RH3-SSE-FS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	72.25			84.5	215	33.6	4.26	R-134A	1/1/2011	2/27/2012
"Hoshizaki America, Inc."	Hoshizaki	RH3-SSE-HS	RH3-SSE-HS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	6	Hinged	72.25			84.5	215	33.6	4.26	R-134A	2/1/2011	2/27/2012
Imbera S.A. de C.V.	Imbera	G313	G313		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	12.81			58.7	149	23.6	2.89	R-134A	1/1/2010	4/7/2011
Imbera S.A. de C.V.	Imbera	G319	G319		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	19.2			80	203.2	26	3.04	R-134A	1/1/2010	4/7/2011
Imbera S.A. de C.V.	Imbera	G342	G342		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Hinged	41			81.5	207.01	26	6.21	R-134A	1/1/2010	4/7/2011
Imbera S.A. de C.V.	Imbera	VR04	VR04		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	3.92			39.2	99.56	21.6	1.21	R-134A	1/4/2011	4/28/2011
Imbera S.A. de C.V.	Imbera	VR06	VR06		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	5.1			36	91.44	25.5	1.74	R-134A	1/1/2010	4/7/2011
Imbera S.A. de C.V.	Imbera	VR08	VR08		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	7.77			69.29	176	18.11	2.12	R-134A	1/1/2010	4/7/2011
Imbera S.A. de C.V.	Imbera	VR10	VR10		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	8.95			52.44	133.2	24.84	1.74	R-134A	1/1/2010	4/7/2011
Imbera S.A. de C.V.	Imbera	VR12	VR12		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	11.59			63	160.02	22.75	2.39	R-134A	1/1/2010	4/7/2011
Imbera S.A. de C.V.	Imbera	VR1.5	VR1.5		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	1.59			30.3	76.96	18.1	1.07	R-134A	1/4/2011	4/28/2011
Imbera S.A. de C.V.	Imbera	VRD21	VRD21		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Hinged	16.8			58.46	148.5	23.81	2.9	R-134A	1/4/2011	4/28/2011
Imbera S.A. de C.V.	Imbera	VRD37	VRD37		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Hinged	37.42			79.72	202.5	29.92	5.17	R-134A	1/4/2011	4/28/2011
Imbera S.A. de C.V.	Imbera	VRD43	VRD43		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Hinged	41.66			80.9	205.5	29.33	5.55	R-134A	1/4/2011	4/28/2011
Imbera S.A. de C.V.	Imbera S A DE C V	VLD311	VLD311		Solid Door Refrigerator Cabinet	Chest		Manual	0	1	Hinged	11.5			25.08	63.7	27.52	1.44	R134A	1/24/2013	1/24/2013
"Innovative DisplayWorks, Inc."	IDW	G-10	G-10	"G-10C,G-10C,; G-10D,G-10D,"	Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	8.66	8.66		54	25	26	2.12	R-134A	4/10/2011	9/21/2012
"Innovative DisplayWorks, Inc."	IDW	G-10S	G-10S		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	8.45	0.47		54.5	25	23.3	1.58	R-134A	2/9/2011	10/23/2012
"Innovative DisplayWorks, Inc."	IDW	G-12S	G-12S		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	10.5	0.58		63.3	25	23.3	1.6	R-134A	2/9/2011	10/23/2012
"Innovative DisplayWorks, Inc."	IDW	G-12Sc	G-12Sc		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	10.73	0.57	0	63.13	24.75	24	1.9	R-744	1/1/2013	12/5/2012
"Innovative DisplayWorks, Inc."	IDW	G-2C	G-2C		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	2.01	2.01		31	20	18	1.41	R-134A	7/10/2011	9/21/2012
"Innovative DisplayWorks, Inc."	IDW	G-60e	G-60e		Glass Door Refrigerator Cabinet	Chest		Manual	1	0	Hinged	5	5		37	32	19	1.08	R-134A	6/10/2011	9/21/2012
"Innovative DisplayWorks, Inc."	IDW	G-6C	G-6C	"G-6CB,G-6CB,"	Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	3.71	3.71		36	23	22	1.44	R-134A	6/10/2011	9/21/2012
"Innovative DisplayWorks, Inc."	IDW	G-80L	G-80L		Glass Door Refrigerator Cabinet	Chest		Manual	1	0	Hinged	2.61		0	39.8	17.8	17.8	0.74	R-134A	6/1/2012	10/12/2012
"Innovative DisplayWorks, Inc."	IDW	GCG-10	GCG-10		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	9.02	9.02		54	26	26	2.19	R-134A	7/20/2011	9/21/2012
"Innovative DisplayWorks, Inc."	IDW	GCG-12	GCG-12		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	10.87	0.49	0	63.25	25	24.75	2.34	R-134A	12/1/2012	10/9/2012
"Innovative DisplayWorks, Inc."	IDW	GCG-12	GCG-12		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	11.9	0.49	0	63.25	25	24.75	2.34	R-134A	12/1/2012	1/14/2013
"Innovative DisplayWorks, Inc."	IDW	GCG-6C	GCG-6C		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	3.82	0.23	0	36.25	22	18.63	1.24	R-134A	7/1/2012	10/23/2012
"Innovative DisplayWorks, Inc."	IDW	GCG-Baby	GCG-Baby		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	2		0	24.25	13.16	16.63	1.28	R-134A	7/1/2012	10/23/2012
"Innovative DisplayWorks, Inc."	IDW	GS-1.5	GS-1.5		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	0.97			17	11.13	9.75	1.16	R-134A	6/14/2011	10/29/2012
"Innovative DisplayWorks, Inc."	IDW	GS2.5	GS2.5		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	2.45		0	27.5	19.53	18.19	1.46	R-134A	12/1/2012	10/9/2012
"Innovative DisplayWorks, Inc."	IDW	RCM-77	RCM-77		Glass Door Refrigerator Cabinet	Chest		Manual	1	0	Hinged	2.15	0.01	0	30.25	22.25	22.25	0.74	R-134A	3/28/2012	10/29/2012
"Innovative DisplayWorks, Inc."	Innovative Display Work	G-77	G-77		Glass Door Refrigerator Cabinet	Chest		Manual	1	0	Hinged	2.77	2.77	0	29.5	11.2	11.2	0.53	R-134A	10/1/2010	10/26/2012
"Innovative DisplayWorks, Inc."	Innovative Display Work	G-7s	G-7s		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	4.86	4.86	0	36.1	20.7	25.2	1.74	R-134A	12/1/2010	10/26/2012
"Innovative DisplayWorks, Inc."	Innovative Display Work	G-80	G-80		Glass Door Refrigerator Cabinet	Chest		Manual	1	0	Hinged	2.62	2.62	0	42.1	9	9	0.62	R-134A	10/1/2010	10/26/2012
"Innovative DisplayWorks, Inc."	Innovative Display Work	GS1.5	GS1.5		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	0.97			17	11.13	9.75	1.16	R-134A	6/14/2011	9/20/2012
"Innovative DisplayWorks, Inc."	Recharge Cold Merchandiser	RCM 77	RCM 77		Glass Door Refrigerator Cabinet	Chest		Manual	1	0	Hinged	2.15	0.01	0	30.25	22.25	22.25	0.74	R-134A	3/28/2012	10/8/2012
"Jiangsu Baixue Electric Appliances Co.,Ltd."	AHT	CTB 100	CTB 100		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	3	3		31.9	18.8	20.5	1.63	R-134A	11/1/2010	10/26/2012
"Jiangsu Baixue Electric Appliances Co.,Ltd."	AHT	CTB 200	CTB 200		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	1.84	1.84		27.9	17.3	17.3	1.13	R-134A	11/1/2010	10/26/2012
"Jiangsu Baixue Electric Appliances Co.,Ltd."	AHT	CTB 50	CTB 50		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	0.59	0.59		21.9	11.7	14.8	1.01	R-134A	11/1/2010	10/26/2012
"Jiangsu Baixue Electric Appliances Co.,Ltd."	AHT	CTB 50 LED	CTB 50 LED		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	0.59	0.59		21.9	11.7	14.8	0.83	R-134A	11/1/2010	10/26/2012
"Jiangsu Baixue Electric Appliances Co.,Ltd."	BAIXUE	CTB 100	CTB 100		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	3	3		31.9	18.8	20.5	1.63	R-134A	11/1/2010	10/26/2012
"Jiangsu Baixue Electric Appliances Co.,Ltd."	BAIXUE	CTB 200	CTB 200		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	1.84	1.84		27.9	17.3	17.3	1.13	R-134A	11/1/2010	10/26/2012
"Jiangsu Baixue Electric Appliances Co.,Ltd."	BAIXUE	CTB 50	CTB 50		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	0.59	0.59		21.9	11.7	14.8	1.01	R-134A	11/1/2010	10/26/2012
"Jiangsu Baixue Electric Appliances Co.,Ltd."	BAIXUE	CTB 50 LED	CTB 50 LED		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	0.59	0.59		21.9	11.7	14.8	0.83	R-134A	11/1/2010	10/26/2012
"Jiangsu Baixue Electric Appliances Co.,Ltd."	Red Bull	RB-GDCT LED	RB-GDCT LED		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	2.51	2.51		33	20	21	1.41	R-134A	5/1/2012	9/21/2012
Jimex Corp.	Ascend	ABM-23R	ABM-23R		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	22		22	81.75	29.25	32.5	2.64	R-134A	3/1/2011	9/20/2012
Jimex Corp.	Ascend	ABM-48R	ABM-48R		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	44.7		43.3	81.75	53.63	32.5	3.9	R-134A	6/1/2011	9/20/2012
Jimex Corp.	Ascend	ABM-72R	ABM-72R		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	69.4		69.4	81.8	81	32.5	5.44	R-134A	6/1/2011	9/20/2012
Jimex Corp.	Ascend	ATM	ATM-61R		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	57.4			76.2	74.8	31.8	4.7	R-134A	5/1/2011	9/20/2012
Jimex Corp.	Ascend	ATM-21R	ATM-21R		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	20	0	20	76.2	31.8	29.1	2.06	R-134A	7/1/2011	9/20/2012
Jimex Corp.	Ascend	ATM-40R	ATM-40R		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	37.66		37.7	76	49.5	32.5	3.49	R-134A	6/1/2011	9/20/2012
KoolStar	Kool Star	R23-S	R23-S		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	20.5			83.8	212.7	33	2.26	R-134A	12/1/2011	11/16/2011
KoolStar	Kool Star	R49-S	R49-S		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	44.2			83.8	212.7	33	3.31	R-134A	12/1/2011	11/16/2011
Master-Bilt Products	Mastebilt	MBUR36	MBUR36		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	8.54		8.54	35.88	91.1	30	2.05	R-134A	1/7/2012	1/7/2012
Master-Bilt Products	Mastebilt	UR36	UR36		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	8.54		8.54	35.88	91.1	30	2.05	R-134A	1/7/2012	1/7/2012
Master-Bilt Products	Master-Bilt	BMG-23P	BMG-23P		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	20.8	20.8		79	200.7	36.8	3.51	R-134A	3/25/2011	3/25/2011
Master-Bilt Products	Master-Bilt	BMG-27	BMG-27		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	24.4	24.4		79	200.7	36.8	4.02	R-134A	3/25/2011	3/25/2011
Master-Bilt Products	Master-Bilt	BMG-48	BMG-48		Glass Door Refrigerator Cabinet	Vertical		Manual	2	0	Hinged	43.5	43.5		79	200.7	36.8	5.91	R-134A	3/25/2011	3/25/2011
Master-Bilt Products	Master-Bilt	BMG-52	BMG-52		Glass Door Refrigerator Cabinet	Vertical		Manual	2	0	Hinged	46	46		79	200.7	36.8	6.08	R-134A	3/25/2011	3/25/2011
Master-Bilt Products	Master-Bilt	BMG-74	BMG-74		Glass Door Refrigerator Cabinet	Vertical		Manual	3	0	Hinged	66.8	66.8		79	200.7	36.8	8.56	R-134A	3/25/2011	3/25/2011
Master-Bilt Products	Master-Bilt	BMG-80	BMG-80		Glass Door Refrigerator Cabinet	Vertical		Manual	3	0	Hinged	73.1	73.1		79	200.7	36.8	9.24	R-134A	3/25/2011	3/25/2011
Master-Bilt Products	Master-Bilt	BSD-24SRA	BSD-24SRA		Solid Door Refrigerator Cabinet	Vertical		Manual	0	1	Hinged	19.5		19.5	82.5	209.6	34	2.47	R-134A	3/25/2011	3/25/2011
Master-Bilt Products	Master-Bilt	BSD-52DRA	BSD-52DRA		Solid Door Refrigerator Cabinet	Vertical		Manual	0	2	Hinged	46.4		46.4	82.5	209.6	34	3.16	R-134A	3/25/2011	3/25/2011
Master-Bilt Products	Master-Bilt	BSD-80TRA	BSD-80TRA		Solid Door Refrigerator Cabinet	Vertical		Manual	0	3	Hinged	70.6		70.6	82.5	209.6	34	5.54	R-134A	3/25/2011	3/25/2011
Master-Bilt Products	Master-Bilt	BSG-48	BSG-48		Glass Door Refrigerator Cabinet	Vertical		Manual	2	0	Sliding	43.5	43.5		79	200.7	36.8	6.09	R-134A	3/25/2011	3/25/2011
Master-Bilt Products	Master-Bilt	BSG-74	BSG-74		Glass Door Refrigerator Cabinet	Vertical		Manual	3	0	Sliding	66.8	66.8		79	200.7	36.8	8.69	R-134A	3/25/2011	3/25/2011
Master-Bilt Products	Master-Bilt	MNR241SSS/0	MNR241SSS/0		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	23.27	0	23.27	81.5	207	35.1	2.96	R134A	3/23/2011	9/19/2012
Master-Bilt Products	Master-Bilt	MNR241SSS/0X	MNR241SSS/0X		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	23.3	0	23.3	81.5	207	35.1	2.61	R134A	3/23/2011	9/19/2012
Master-Bilt Products	Master-Bilt	MNR242SSS/0	MNR242SSS/0		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	23.3		23.3	81.5	207	35.1	2.96	R134A	3/23/2011	9/19/2012
Master-Bilt Products	Master-Bilt	MNR242SSS/0X	MNR242SSS/0X		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	23.3		23.3	81.5	207	35.1	2.58	R134A	3/23/2011	9/19/2012
Master-Bilt Products	Master-Bilt	MNR522SSS/0	MNR522SSS/0		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	50.5		50.5	81.5	207	35.1	4.11	R134A	3/23/2011	9/19/2012
Master-Bilt Products	Master-Bilt	MNR522SSS/0X	MNR522SSS/0X		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	50.5		50.5	81.5	207	35.1	4.23	R134A	3/23/2011	9/19/2012
Master-Bilt Products	Master-Bilt	MNR524SSS/0X	MNR524SSS/0X		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	50.5		50.5	81.5	207	35.1	4.4	R134A	3/23/2011	9/19/2012
Master-Bilt Products	Master-Bilt	MNR803SSG/0	MNR803SSG/0		Glass Door Refrigerator Cabinet	Vertical		Automatic	3	0	Hinged	77.7	77.7		81.5	207	35.1	8.34	R134A	3/23/2011	9/19/2012
Master-Bilt Products	Master-Bilt	MNR803SSG/0X	MNR803SSG/0X		Glass Door Refrigerator Cabinet	Vertical		Automatic	3	0	Hinged	77.7	77.7		81.5	207	35.1	5.75	R134A	3/23/2011	9/19/2012
Master-Bilt Products	Master-Bilt	MNR803SSS/0	MNR803SSS/0		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	77.73		77.73	81.5	207	35.1	4.51	R134A	3/23/2011	9/19/2012
Master-Bilt Products	Master-Bilt	MNR803SSS/0X	MNR803SSS/0X		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	77.7		77.7	81.5	207	35.1	3.56	R134A	3/23/2011	9/19/2012
Master-Bilt Products	Master-Bilt	MNR806SSS/0	MNR806SSS/0		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	6	Hinged	77.7		77.7	81.5	207	35.1	4.84	R134A	3/23/2011	9/19/2012
Master-Bilt Products	Master-Bilt	MNR806SSS/0X	MNR806SSS/0X		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	6	Hinged	77.7		77.7	81.5	207	35.1	3.98	R134A	3/23/2011	9/19/2012
Master-Bilt Products	Master-Bilt	R23-S	R23-S		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	20.5		20.9	83.8	212.7	33	2.26	R-134A	12/1/2011	11/16/2011
Master-Bilt Products	Master-Bilt	R49-S	R49-S		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	44.2		43.1	83.8	212.7	33	3.31	R-134A	12/1/2011	11/16/2011
Master-Bilt Products	Master-Bilt	R72-S	R72-S		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	66.6		66.6	83.8	212.7	33	5.36	R134A	3/25/2011	3/25/2011
Master-Bilt Products	Master-Bilt	UR27	UR27		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	6.8		6.8	35.9	91.1	30	1.15	R134A	3/25/2011	3/25/2011
Master-Bilt Products	Master-Bilt	UR48	UR48		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	13.1		13.1	35.9	91.1	30	1.66	R134A	3/25/2011	3/25/2011
Master-Bilt Products	Master-Bilt	UR60	UR60		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	16.2		16.2	35.9	91.1	30	2.03	R134A	3/25/2011	3/25/2011
Master-Bilt Products	Master-Bilt	UR72	UR72		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	19.5		19.5	35.9	91.1	30	2.34	R134A	3/25/2011	3/25/2011
McCall Refrigeration	McCall	MCCR1-G	MCCR1-G	"MCCR1-G-I2,MCCR1-G-I2,; MCCR1-G-IW,MCCR1-G-IW,"	Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	25.35	25.35	0	82	29	34	3.98	R-404A	6/6/2011	12/3/2012
McCall Refrigeration	McCall	MCCR1-GH	MCCR1-GH	"MCCR1-GH-I2,MCCR1-GH-I2,; MCCR1-GH-IM,MCCR1-GH-IM,; MCCR1-GH-SON1,MCCR1-GH-SON1,"	Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Hinged	25.27	25.27	0	82	29	34	3.93	R-404A	6/6/2011	12/3/2012
